10;0.0002099999;0.001895;3;0.0005950003;0.002399999
213;0.001550001;0.002609999;7;0.003945004;0.003155001
417;0.002925;0.003135001;11;0.01406501;0.006870003
621;0.004305002;0.003995004;15;0.03444496;0.01426001
825;0.005729999;0.00445;19;0.07006998;0.02805997
1029;0.007285005;0.005574998;23;0.148235;0.04785503
1233;0.009399987;0.006220001;27;0.19873;0.07521498
1437;0.010755;0.006800013;31;0.3548553;0.121695
1641;0.01249998;0.007650004;35;0.4435602;0.1671401
1844;0.01263501;0.007340003;39;0.5666945;0.231735
2048;0.01651502;0.009904997;43;0.8017204;0.327265
2252;0.01541502;0.008969989;47;1.027385;0.4176852
2456;0.01711999;0.009664981;51;1.30035;0.5379697
2660;0.01819497;0.01007999;55;1.634455;0.6582649
2864;0.020475;0.01158;59;1.872571;0.8218801
3068;0.02408997;0.013105;63;2.44271;0.9937851
3272;0.022225;0.012115;67;2.827142;1.18171
3475;0.024145;0.01277001;71;3.269835;1.374979
3679;0.02564004;0.01373001;75;3.882489;1.60162
3883;0.02813;0.01453501;79;4.53653;1.853519
4087;0.02785;0.014525;83;5.201145;2.172039
4291;0.03074997;0.01598001;87;5.925879;2.487384
4495;0.03123002;0.01612502;91;6.863839;2.893795
4699;0.03217003;0.01680502;95;7.687577;3.18162
4903;0.03437498;0.01747499;99;8.74136;3.652835
5106;0.03605498;0.01833998;103;9.755167;4.136545
5310;0.03781994;0.01916497;107;10.84031;4.658225
5514;0.04048007;0.02041497;111;12.33622;5.08732
5718;0.04088501;0.02064;115;13.5076;5.652596
5922;0.04340997;0.02163001;119;14.81342;6.237088
6126;0.04170993;0.02102499;123;16.42606;7.017767
6330;0.04360511;0.02161997;127;18.11849;7.734249
6534;0.04622502;0.02322499;131;19.81607;8.402983
6737;0.04793495;0.02435998;135;21.55979;9.216328
6941;0.04794998;0.02386498;139;23.29692;9.914761
7145;0.04970496;0.02460499;143;25.63381;10.90975
7349;0.05229009;0.02514498;147;27.64689;11.85144
7553;0.052565;0.02556003;151;30.40405;12.8598
7757;0.05787006;0.02848502;155;32.29658;13.80867
7961;0.05654994;0.02822002;159;34.92712;14.94966
8165;0.05746;0.02803;163;37.19202;16.05265
8368;0.06140503;0.03037499;167;40.46141;17.43371
8572;0.05905496;0.02867999;171;43.24625;18.90956
8776;0.06087507;0.03049498;175;46.29644;19.6593
8980;0.06563993;0.03199;179;49.05577;21.24812
9184;0.063675;0.030545;183;52.85991;23.90244
9388;0.06773999;0.032865;187;56.18434;25.54176
9592;0.06821988;0.03286004;191;59.52296;26.92052
9796;0.06701005;0.03209003;195;63.03893;29.10574
10000;0.06896494;0.03307503;200;68.09614;30.59659
